1.01	Исковое заявление
1.02	Неисполнение договорных обязательств
1.03	Подача заявления в органы или иск
1.04	Возбужденное уголовное дело
1.05	Решение суда по взысканию задолженности
2.01	Отказ в возврате денежных средств
2.02	Отказ в возмещении убытков (по выданным гарантиям)
2.03	Отказ в возмещении убытков (порча или утрата)
3.01	Получение карт по поддельному паспорту
3.02	Фиктивные торгово-сервисные точки
3.03	Мошенничество с международными платежными системами
3.04	Предоставление информации для совершения противоправных действий
3.05	Получение кредита по поддельным документам
3.06	Поддельные ценные бумаги
3.07	Ущерб банку от бывших сотрудников
4.01	Поддельные доверенности
4.02	Поддельные исполнительные листы
4.03	Иски в Сбербанк при отсутствии оснований
4.04	Противоправные действия
4.05	Сомнительные операции
9.00	Неклассифицированная информация
7.00	Операции по счетам приостановлены
6.03	Представители Должностных Лиц
6.04	Иностранные Представители Должностных Лиц
6.05	Родственники Иностранных Представителей Должностных Лиц
01.02.01	Отказ клиента от исполнения обязательств по договору
01.02.02	Наличие негативной кредитной истории
01.02.03	Наличие информации об уклонении Заемщика/Поручителя
01.03.01	Подача заявления в правоохранительные органы
01.03.02	Подача искового заявления в суд
01.06	Принятие решения о переводе долга
3.08	Предъявление фиктивных документов при приеме на работу
6.06	Физ. лица, в отношении которых РФ введены санкции
6.07	Юр. лица, в отношении которых РФ введены санкции
8.01	Судимость
8.02	Состоит на специальном учете
8.03	Наличие действующего исполнительного производства
8.04	Наличие негативной кредитной истории в иных коммерческих орг
8.05	Фиктивность адреса регистрации
8.06	Наличие негатива в отношении рук-ой орг-и: нестабильное фин.положение
8.07	Наличие негатива в отношении рук-ой орг-ии: участие в мошенничестве
8.08	Случаи, связанные со сдачей имущества в ломбард/азартные игры
8.09	Наличие сведений об участии в мошеннических операциях
8.10	Наличие негатива, выявленного при телефонной верификации
8.11	Инф-я о планируемой ликвидации участника сделки
8.12	Инф-я о признаках банкротства
3.09	Карточные дропы
1.07	Проблемная дебиторская задолженность
6.15	МДЛПМО - Присваивается физическим лицам, которые являются должностными лицами публичной международной организации (ИПДЛ)
6.16	РДЛГД - Присваивается физическим лицам, которые замещают (занимают) государственную должность Российской Федерации (РПДЛ)
6.17	РДЛСДБР - Присваивается физическим лицам, которые замещают (занимают) должность члена Совета директоров Банка России (РПДЛ)
6.18	РДЛФГС - Присваивается физическим лицам, замещающим (занимающим) должность федеральной государственной службы, назначение на которую и освобождение от которой  осуществляются Президентом Российской Федерации или Правительством Российской Федерации (РПДЛ)
6.19	РДЛБР - Присваивается физическим лицам, замещающим (занимающим)  должность в Банке России (РПДЛ)
6.20	РДЛГК - Присваивается физическим лицам, которые замещают (занимают) должность в государственной корпорации и иной организации, созданной Российской Федерацией на основании федеральных законов (РПДЛ)
